Segment,Recency,Frequency,Monetary
Loyal Customers,9,7,2032.9
Loyal Customers,192,5,1480.52
Loyal Customers,82,4,533.57
Loyal Customers,72,3,1477.78
Loyal Customers,30,6,818.64
Loyal Customers,3,5,819.5699999999999
Loyal Customers,219,5,1457.81
Lost / Low Value,46,1,125.58000000000001
Champions (VIP),10,17,1786.64
Loyal Customers,72,4,1629.92
Champions (VIP),7,7,2266.43
Lost / Low Value,233,1,29.5
Hibernating,123,2,599.84
Lost / Low Value,17,1,81.66
Hibernating,310,1,270.62
Loyal Customers,51,2,377.27
Lost / Low Value,89,1,103.3
Loyal Customers,39,8,2012.26
Loyal Customers,25,3,2203.6000000000004
Loyal Customers,173,6,2112.46
Occasional / At Risk,43,2,314.29
Lost / Low Value,140,1,149.48
Loyal Customers,26,3,1042.4
Loyal Customers,72,2,609.11
Lost / Low Value,366,1,168.6
Occasional / At Risk,38,2,244.9
Champions (VIP),3,6,2794.96
Occasional / At Risk,2,2,102.0
Hibernating,30,1,163.17
Hibernating,44,1,213.46
Lost / Low Value,58,1,110.38
Lost / Low Value,74,1,173.9
Lost / Low Value,278,1,137.0
Lost / Low Value,181,1,46.92
Occasional / At Risk,8,2,113.13000000000001
Champions (VIP),4,16,1996.68
Loyal Customers,43,3,960.76
